,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
136,Philippines,PHL,SouthEastAsia,3953.1001,0.67900002,100.1490020751953,6.199999809265138,4.54694414138794,,67.44245910644531
35,Chile,CHL,LatAm,15519.08,0.84500003,17.81900024414063,3.2000000476837163,3.69163703918457,4.750120162963867,88.29785919189453
111,Monaco,MCO,WesternDem,108481.13,,,,,1.0219500064849851,
32,Central African Republic,CAF,SubSaharian,690.03998,0.34700000000000003,,6.9000000953674325,,1.22393000125885,13.60074996948242
14,Barbados,BRB,Caribbean,22888.971,0.79400003,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
38,Colombia,COL,LatAm,8761.1396,0.72399998,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703
190,Venezuela,VEN,LatAm,10513.96,0.76899999,,5.199999809265137,2.640229225158691,,74.78971099853516
9,Austria,AUT,WesternDem,38868.039,0.89200002,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
149,Sao Tome and Principe,STP,SubSaharian,2150.55,0.565,,7.9000000953674325,,3.7568199634552,64.42681121826172
156,Slovakia,SVK,EastEurope,21776.34,0.84200001,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,
181,Ukraine,UKR,EastEurope,9326.7197,0.74800003,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375
29,Cameroon,CMR,SubSaharian,2658.51,0.514,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
161,Zimbabwe,ZWE,SubSaharian,15997.67,0.50700003,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
152,Serbia,SRB,EastEurope,11343.92,0.77499998,7.166999816894531,5.300000190734863,3.0581588745117188,4.178609848022462,92.20523071289064
31,Cape Verde,CPV,SubSaharian,3972.6101,0.64600003,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789
82,Italy,ITA,WesternDem,32931.672,0.88099998,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
75,Iceland,ISL,WesternDem,31313.609,0.91900003,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
76,India,IND,SouthAsia,4256.79,0.61500001,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
30,Canada,CAN,WesternDem,36577.078,0.91900003,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,
180,Uganda,UGA,SubSaharian,1343.45,0.48800001,37.599998474121094,7.300000190734862,3.571631669998169,2.213870048522949,
87,Jordan,JOR,NorthAfrica,5188.9199,0.741,6.675000190734862,3.5999999046325684,4.585320949554443,,81.37625122070312
79,Iraq,IRQ,NorthAfrica,4178.2598,0.64899999,32.57799911499023,8.100000381469728,,,
176,Tunisia,TUN,NorthAfrica,6912.2798,0.72299999,,5.5,3.721023797988892,6.2503600120544425,
33,Sri Lanka,LKA,SouthAsia,5466.8701,0.764,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
3,Andorra,AND,WesternDem,32367.33,0.85699999,,,,2.997809886932373,
169,Syria,SYR,NorthAfrica,4284.4199,0.55299997,,7.4000000953674325,3.24616551399231,,46.6161994934082
18,Bosnia and Herzegovina,BIH,EastEurope,8507.6504,0.74699998,3.871000051498413,5.5,2.355769157409668,,
72,Haiti,HTI,LatAm,1024.9399,0.49000001,,9.300000190734863,2.325876951217651,,
59,France (1963-),FRA,WesternDem,34007.898,0.89399999,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548
40,Congo,COG,SubSaharian,2369.8401,0.58999997,,6.800000190734862,,,
28,Cambodia,KHM,SouthEastAsia,1927.0601,0.55800003,14.60499954223633,7.5,3.17626953125,1.901970028877258,
179,Tuvalu,TUV,Pacific,3174.05,,0.0109999999403954,,,,69.80497741699219
182,Macedonia,MKD,EastEurope,9610.5996,0.74599999,2.069000005722046,5.5,3.961112499237061,,
183,Egypt,EGY,NorthAfrica,5598.2598,0.68800002,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
48,Denmark,DNK,WesternDem,37406.762,0.92299998,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531
104,Malaysia (1966-),MYS,SouthEastAsia,12284.27,0.787,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
128,Micronesia,FSM,Pacific,2624.05,0.63700002,0.1019999980926514,9.0,,12.46774959564209,
154,Sierra Leone,SLE,SubSaharian,979.9500099999999,0.43099999,6.23199987411499,8.399999618530272,2.986086368560791,2.661669969558716,
167,Sweden,SWE,WesternDem,39000.91,0.90899998,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
90,"Korea, South",KOR,EastAsia,33181.891,0.89899999,50.74700164794922,3.5,3.6152341365814213,5.052110195159912,96.77686309814452
7,Argentina,ARG,LatAm,15102.61,0.82599998,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562
65,Ghana,GHA,SubSaharian,2584.6001,0.57499999,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648
108,Mauritania,MRT,SubSaharian,2223.01,0.51300001,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723
74,Hungary,HUN,EastEurope,18310.811,0.83399999,9.876999855041504,3.2999999523162837,3.28902006149292,4.6593499183654785,92.19537353515624
130,Palau,PLW,Pacific,9392.5996,0.78299999,0.0179999992251396,,,,70.16300201416016
170,Tajikistan,TJK,EastEurope,3592.6499,0.625,8.131999969482424,6.300000190734862,3.8404254913330083,5.232150077819824,83.22482299804688
36,China,CHN,EastAsia,9283.3799,0.73400003,,4.599999904632568,4.028250217437743,,
