undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
0.89600003,LUX,5,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872,WesternDem
0.73900002,ECU,2,7259.52,15.774999618530268,19.10000038146973,3.8199998999999996,9.0,9.161087989807127,LatAm
0.73500001,LCA,10,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662,Caribbean
0.78100002,SYC,4,9583.3203,0.0900000035762787,11.199999809265142,9.7200003,26.700001,3.369816780090332,SubSaharian
0.43799999,MLI,4,1063.26,14.854000091552729,79.5999984741211,0.61000001,18.6,6.862166404724121,SubSaharian
0.89399999,FRA,5,34007.898,64.02799987792969,3.4000000953674316,11.5,28.1,11.53951930999756,WesternDem
0.66500002,ZAF,4,8820.0596,54.14699935913086,33.299999237060554,7.380000099999999,18.9,8.796984672546387,SubSaharian
0.55299997,SYR,3,4284.4199,,14.199999809265142,0.75999999,,3.254531145095825,NorthAfrica
0.70200002,WSM,9,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961,Pacific
0.55000001,KEN,4,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125,SubSaharian
0.514,CMR,4,2658.51,,61.099998474121094,6.1900001,18.799999,4.1036715507507315,SubSaharian
0.78299999,PLW,9,9392.5996,0.0179999992251396,,,,9.021533012390137,Pacific
0.58600003,KIR,9,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193,Pacific
0.83399999,HUN,1,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.4007811546325675,EastEurope
0.92299998,DNK,5,37406.762,5.626999855041504,3.0,9.6400003,18.9,10.804957389831538,WesternDem
0.84600002,LTU,1,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880128,EastEurope
0.91299999,NZL,5,26481.369,4.554999828338623,4.699999809265137,9.069999699999999,17.6,11.02960968017578,WesternDem
0.64600003,CPV,4,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902,SubSaharian
0.495,LSO,4,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
0.852,POL,1,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585,EastEurope
0.75800002,AZE,1,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,EastEurope
0.44100001,ETH,4,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,SubSaharian
0.42699999,LBR,4,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449,SubSaharian
0.78399998,ATG,10,12257.71,,,8.5600004,,5.5416831970214835,Caribbean
0.75800002,MEX,2,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915,LatAm
0.79900002,KWT,3,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822,NorthAfrica
0.69199997,PRY,2,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756,LatAm
0.68800002,TKM,1,13217.39,,,2.9000001,,2.067386150360107,EastEurope
0.82599998,ARG,2,15102.61,41.73300170898438,12.699999809265142,7.929999799999999,25.299999,4.785916328430176,LatAm
0.90899998,SWE,5,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,WesternDem
0.76300001,LBN,3,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021,NorthAfrica
0.89200002,AUT,5,38868.039,8.543999671936035,3.2999999523162837,12.32,,11.20547294616699,WesternDem
0.89300001,FIN,5,36958.211,5.427000045776367,2.4000000953674316,8.8000002,21.799999,9.679908752441406,WesternDem
0.662,KGZ,1,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709,EastEurope
,MCO,5,108481.13,,,,,4.337683200836182,WesternDem
0.82300001,HRV,1,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736327,EastEurope
0.68599999,IDN,7,4780.0098,252.1649932861328,25.79999923706055,0.09000000400000001,38.5,2.84686017036438,SouthEastAsia
0.79799998,ROU,1,14563.14,19.95299911499023,10.69999980926514,9.590000199999999,30.5,5.565009117126465,EastEurope
,NRU,9,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Pacific
0.58999997,COG,4,2369.8401,,,3.8199998999999996,18.5,5.151411533355713,SubSaharian
0.80400002,MNE,1,14538.52,0.621999979019165,5.5,6.559999900000001,,6.416542530059815,EastEurope
0.51899999,TZA,4,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,SubSaharian
0.498,COM,4,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927003,SubSaharian
0.55199999,MMR,7,5733.3701,51.41899871826172,41.099998474121094,0.69999999,20.0,2.275754690170288,SouthEastAsia
0.54799998,PAK,8,2855.55,186.19000244140634,69.30000305175781,0.039999999,22.6,2.613916397094727,SouthAsia
0.73699999,PER,2,9227.1504,30.80900001525879,14.100000381469732,5.380000099999999,,5.473034858703613,LatAm
0.91100001,LIE,5,102243.52,,,,,,WesternDem
0.6709999999999999,BOL,2,4023.8701,10.07800006866455,32.799999237060554,3.6199999,,6.334827423095702,LatAm
0.82300001,BHR,3,22498.48,1.26800000667572,8.199999809265138,1.5700001000000001,30.299999,4.980796337127686,NorthAfrica
0.51099998,MDG,4,822.62,,40.900001525878906,0.87,,3.041355133056641,SubSaharian
,MHL,9,2833.97,0.0540000014007092,,,,17.13572311401367,Pacific
