undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
0.90899998,SWE,WesternDem,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.8189985752105713
0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.7000000476837158,11.12,24.4,6.937873363494872
0.43099999,SLE,SubSaharian,979.9500099999999,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112306
0.76200002,KNA,Caribbean,11237.75,,,8.680000300000001,,5.080365180969238
0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
0.47,DJI,SubSaharian,2685.5,,,0.38,,10.56825637817383
0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259032
0.73400003,CHN,EastAsia,9283.3799,,12.100000381469732,5.7800002,25.9,5.548227787017822
0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265138,9.090000199999999,42.099998,10.36881160736084
0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
0.84200001,SVK,EastEurope,21776.34,5.415999889373778,6.300000190734862,10.6,28.799999,8.054047584533691
0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.100000381469732,4.380000099999999,11.6,7.201298713684082
0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265138,1.91,,3.643985748291016
0.76899999,VEN,LatAm,10513.96,,13.100000381469732,6.4699998,,5.256702423095703
0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576
0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,17.79999923706055,6.130000099999999,30.0,7.416659355163574
0.39399999,TCD,SubSaharian,1651.05,,89.4000015258789,0.63999999,,3.6211643218994136
0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
0.875,CZE,EastEurope,23847.08,10.51200008392334,3.0999999046325684,12.68,33.400002,7.410911560058594
0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
0.773,CUB,LatAm,5899.9399,,,4.369999900000001,36.099998,11.05880069732666
0.79400003,URY,LatAm,12804.84,3.453999996185303,6.199999809265138,6.0300002,24.799999,8.581491470336914
0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.3502464294433585
0.77499998,CRI,LatAm,9485.71,,8.600000381469728,3.45,14.2,9.313112258911133
0.86299998,EST,EastEurope,19768.039,1.315999984741211,2.9000000953674316,,33.200001,6.379294395446777
0.625,TJK,EastEurope,3592.6499,8.131999969482424,49.0,0.31999999,,6.8808841705322275
0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.199999809265142,1.45,27.0,5.41495943069458
0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001000000001,37.0,6.3937087059021
0.70599997,BLZ,Caribbean,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664
0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.899999618530268,6.7399998,7.400000099999999,8.025723457336426
0.34700000000000003,CAF,SubSaharian,690.03998,,,1.66,,4.2002220153808585
0.91100001,LIE,WesternDem,102243.52,,,,,
0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,45.400001525878906,10.22,10.3,7.222136974334718
0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265138,4.0300002,39.200001,9.572015762329102
0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225
0.898,ISR,NorthAfrica,25926.25,8.211999893188478,3.2999999523162837,2.6199999,30.4,7.808308124542236
0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336
0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.5416831970214835
0.71799999,DOM,LatAm,10376.63,,22.79999923706055,5.920000099999999,14.5,4.375777721405028
0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.9000000953674316,9.880000099999998,22.6,9.501075744628906
,SOM,SubSaharian,1436.74,,,0.0,,
0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.4753034114837649
0.741,JOR,NorthAfrica,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128
0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.399999618530268,3.8299999,17.6,5.36152458190918
0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
0.80500001,RUS,EastEurope,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799
0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,6.300000190734862,1.15,,2.18706226348877
0.86500001,GRC,WesternDem,25295.27,10.927000045776369,4.099999904632568,7.530000200000001,43.400002,8.084266662597656
0.58999997,COG,SubSaharian,2369.8401,,,3.8199998999999996,18.5,5.151411533355713
0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.940000099999999,,5.933197021484375
0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.2468767166137695
0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.200000047683716,7.5500002,22.799999,10.22874450683594
0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.2000000476837163,7.559999900000001,24.200001,9.247918128967283
0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.7202911376953125
0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812013
0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
0.40599999,BDI,SubSaharian,663.5700099999999,,66.9000015258789,4.1599998,,7.535565376281737
0.84500003,SAU,NorthAfrica,20872.711,30.770000457763672,7.4000000953674325,0.09000000400000001,17.1,4.684084892272949
0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,9.5,0.02,,3.042368412017822
0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419924
0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001000000001,,4.328233718872069
